State,Name,code
PA,Lehighton Jake Arner Memorial Airport ,K22N
PA,"Mount Pocono, Pocono Mountains Municipal Airport ",KMPO
PA,Muir Army Air Field / Indiantown ,KMUI
PA,"New Castle, New Castle Municipal Airport ",KUCP
PA,PERKASIE ,KCKZ
PA,Philadelphia - Wings Field Airport ,KLOM
PA,"Philadelphia, Northeast Philadelphia Airport ",KPNE
PA,"Philadelphia, Philadelphia International Airport ",KPHL
PA,Pittsburgh - Allegheny County Airport ,KAGC
PA,"Pittsburgh, Pittsburgh International Airport ",KPIT
PA,Port Meadville Airport ,KGKJ
PA,"Pottstown, Pottstown Limerick Airport ",KPTW
PA,Quakertown Airport ,KUKT
PA,"Reading, Reading Regional Airport ",KRDG
PA,Reedsville / Mifflin ,KRVL
PA,Selinsgrove Penn Valley Airport ,KSEG
PA,Somerset County Airport ,K2G9
PA,St Marys Municipal Airport ,KOYM
PA,State College - University Park Airport ,KUNV
PA,Washington - Washington County Airport ,KAFJ
PA,Wellsboro Johnston Airport ,KN38
PA,WEST CHESTER ,KOQN
PA,"Wilkes-Barre - Scranton, Wilkes-Barre / Scranton International Airport ",KAVP
PA,Williamsport - Lycoming County Airport ,KIPT
PA,"York, York Airport ",KTHV
RI,Block Island State Airport ,KBID
RI,N. Kingston / Quonset ,KOQU
RI,"Newport, Newport State Airport ",KUUU
RI,"Pawtucket, North Central State Airport ",KSFZ
RI,"Providence, Theodore Francis Green State Airport ",KPVD
RI,"Westerly, Westerly State Airport ",KWST
VT,"Barre / Montpelier, Knapp State Airport ",KMPV
VT,Bennington Morse State Airport ,KDDH
VT,"Burlington, Burlington International Airport ",KBTV
VT,Caledonia County Airport ,KCDA
VT,Franklin County State Airport ,KFSO
VT,Middlebury State Airport ,K6B0
VT,Morrisville-Stowe State Airport ,KMVL
VT,Northeast Kingdom International Airport ,KEFK
VT,Rutland-Southern Vermont Regional Airport ,KRUT
VT,"Springfield, Hartness State Springfield Airport ",KVSF
VT,St. Johnsbury - Fairbanks ,K1V4
